,发布日期,发布时间,新闻标题,新闻来源,关键词,风险类型
177,20180620,2018-06-20 13:31:28,15金茂债（122482）13时31分发生一笔价格异动,财汇AI数据研究院,,
178,20180614,2018-06-14 14:07:05,15金茂债（122482）14时07分发生一笔价格异动,财汇AI数据研究院,,
179,20190320,2019-03-20 17:03:00,为什么胜通集团、东辰控股没有得到有效救助？,联合见智,,
180,20190320,2019-03-20 18:45:00,破产重整，东辰集团信用状况解析,中债资信,,
181,20190321,2019-03-21 20:20:32,山东大型民企接连破产 担保圈风险升级|债市爆雷之十五,金融混业观察,,
182,20190213,2019-02-13 03:48:00,违约那些事儿｜18年民企违约模式全梳理,商道大儒公众号,,
183,20190402,2019-04-02 17:43:00,违约回顾丨 东辰控股中证评级跟踪历史,中证评级,,
184,20190409,2019-04-09 08:58:00,东营政府强力保万达，买单80%担保额,债券圈,,
185,20190419,2019-04-19 17:10:07,山东金茂纺织化工集团有限公司关于“14鲁金茂MTN001”违约后续进展情况的公告(2019年3月1日-2019年3月31日),上海清算所,,
186,20190417,2019-04-17 17:08:30,上海浦东发展银行股份有限公司关于山东金茂纺织化工集团有限公司14鲁金茂MTN001有关事项进展情况的公告(2019年3月1日-2019年3月31日),上海清算所,,
187,20190501,2019-05-01 09:10:47,中山证券有限责任公司关于山东金茂纺织化工集团有限公司公开发行2016年公司债券（第一期）临时受托管理事务报告,上海交易所,,
188,20190430,2019-04-30 19:20:07,山东金茂纺织化工集团有限公司关于预计无法按时披露2018年年度报告和2019年第一季度财务信息的公告,上海清算所,,
189,20190506,2019-05-06 11:25:00,山东东营求解互保地雷阵,南方周末,,
190,20181205,2018-12-05 18:52:13,"新世纪评级调低“山东金茂纺织化工集团有限公司2014年度第一期中期票据”的债项评级,从CCC调低为C",大智慧财汇数据整理,,
191,20180621,2018-06-21 20:50:45,"新世纪评级调低“山东金茂纺织化工集团有限公司2014年度第一期中期票据”的债项评级,从AA-调低为BBB",大智慧财汇数据整理,,
192,20180604,2018-06-04 14:05:42,新世纪评级将“山东金茂纺织化工集团有限公司2014年度第一期中期票据”列入评级观察(可能调低),大智慧财汇数据整理,,
193,20181130,2018-11-30 15:13:34,"新世纪评级调低“山东金茂纺织化工集团有限公司2014年度第一期中期票据”的债项评级,从BBB调低为CCC",大智慧财汇数据整理,,
194,20181205,2018-12-05 18:53:12,"新世纪评级调低“山东金茂纺织化工集团有限公司”的长期债务评级,从CCC调低为C",大智慧财汇数据整理,,
